,City,Lat,Lon,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
270,tura,27.92,96.17,298.01,82,26,1.36,IN,1592679770
271,tura,-14.97,22.68,288.09,38,0,2.29,ZM,1592679770
272,tura,26.89,88.07,291.38,100,43,1.37,NP,1592679770
273,tura,51.63,-0.75,293.15,73,0,0.45,GB,1592679673
274,tura,-22.0,148.05,286.3,92,8,3.26,AU,1592680018
275,tura,25.54,-80.41,303.15,74,40,4.1,US,1592679770
276,tura,33.19,-82.53,305.15,40,40,1.5,US,1592679771
277,tura,45.06,-83.43,303.15,55,20,5.1,US,1592679771
278,tura,-20.02,148.23,292.59,93,90,3.1,AU,1592679771
279,tura,-6.46,108.45,298.9,79,100,2.85,ID,1592679771
280,tura,46.98,-123.89,290.37,87,90,5.7,US,1592679771
281,tura,20.5,-10.07,313.71,11,45,3.41,MR,1592679771
282,tura,36.99,-86.44,304.15,43,75,2.33,US,1592679634
283,tura,65.37,58.04,279.06,96,100,1.59,RU,1592679645
284,tura,-17.71,-39.25,298.16,65,100,2.21,BR,1592680019
285,tura,40.64,-8.71,296.48,77,0,4.92,PT,1592679772
286,tura,63.9,122.76,290.25,63,0,1.78,RU,1592679772
287,tura,20.87,-90.4,304.47,62,0,4.04,MX,1592679772
288,tura,-37.88,147.98,279.26,95,4,2.17,AU,1592679772
289,tura,-21.34,55.48,293.15,77,67,4.6,RE,1592680020
290,tura,-3.4,-78.55,290.5,90,100,0.66,EC,1592679773
291,tura,60.06,71.48,284.1,97,100,4.49,RU,1592679773
292,tura,12.22,125.48,300.75,80,95,2.07,PH,1592680020
293,tura,-45.42,167.72,273.82,93,39,0.67,NZ,1592679773
294,tura,22.68,-3.98,315.53,8,77,3.21,ML,1592680021
295,tura,49.59,34.54,292.92,68,6,4.15,UA,1592679773
296,tura,42.43,130.64,288.78,95,100,5.51,RU,1592679774
297,tura,58.19,49.52,281.05,74,0,2.72,RU,1592679774
298,tura,11.54,-72.91,309.15,44,75,7.7,CO,1592679568
299,tura,41.61,-4.8,301.48,26,0,4.1,ES,1592679774
300,tura,-36.72,-73.12,286.15,93,90,6.7,CL,1592679774
301,tura,18.39,42.45,298.15,47,100,2.6,SA,1592680021
302,tura,-26.5,17.16,287.72,34,0,4.78,NA,1592679774
303,tura,5.35,48.53,299.92,66,0,12.57,SO,1592679747
304,tura,36.53,37.95,296.15,49,40,5.1,SY,1592679775
305,tura,-4.58,-81.27,297.15,64,1,7.2,PE,1592679775
306,tura,17.25,-88.77,304.26,66,33,4.92,BZ,1592679553
307,tura,50.28,113.29,282.47,86,0,1.08,RU,1592679681
308,tura,5.38,-52.95,300.42,83,86,4.5,GF,1592679595
309,tura,-2.88,29.25,291.0,81,54,1.14,BI,1592679775
310,tura,40.16,-8.33,296.48,65,0,3.13,PT,1592679775
311,tura,39.83,44.7,294.15,35,20,2.6,AM,1592679775
312,tura,-15.77,128.73,290.15,37,1,1.0,AU,1592679776
313,tura,22.29,114.16,302.04,79,68,4.02,HK,1592679995
314,tura,49.2,119.7,286.1,64,7,1.67,CN,1592679776
315,tura,4.14,96.13,298.04,87,100,2.78,ID,1592680022
316,tura,1.75,40.06,304.15,43,0,3.1,KE,1592679776
317,tura,11.0,122.67,298.81,76,80,2.08,PH,1592680024
318,tura,-29.66,17.89,283.77,64,0,1.95,ZA,1592679776
319,tura,33.73,135.98,291.24,89,86,2.0,JP,1592679595
320,tura,-16.92,145.77,294.15,94,90,4.1,AU,1592679777
321,tura,60.25,24.07,292.04,61,0,2.24,FI,1592679777
322,tura,38.85,-76.88,295.15,100,20,2.1,US,1592679777
323,tura,60.4,-1.35,287.15,87,49,6.7,GB,1592679777
324,tura,-5.35,21.42,296.5,44,0,0.5,CD,1592679777
325,tura,41.5,33.67,286.25,90,33,1.45,TR,1592679778
326,tura,59.53,33.92,285.93,69,0,2.57,RU,1592679778
327,tura,54.72,135.31,276.96,96,100,5.7,RU,1592679778
328,tura,-13.88,167.55,300.15,83,40,5.1,VU,1592679640
329,tura,18.09,-15.98,300.15,74,0,5.1,MR,1592679569
330,tura,65.82,87.98,281.25,77,88,5.1,RU,1592679778
331,tura,23.19,116.61,301.15,83,100,2.0,CN,1592680026
332,tura,-15.53,167.17,296.15,100,75,3.6,VU,1592679779
333,tura,68.05,166.44,296.18,37,100,1.12,RU,1592680026
334,tura,3.78,72.97,302.08,77,100,5.72,MV,1592679779
335,tura,34.95,-81.93,303.15,42,40,0.37,US,1592679547
336,tura,47.87,88.12,284.36,73,100,5.85,CN,1592679779
337,tura,41.31,28.68,298.15,57,0,2.6,TR,1592679779
338,tura,46.93,20.83,292.15,77,75,3.1,HU,1592679779
339,tura,9.11,18.35,304.15,62,20,0.89,TD,1592680027
340,tura,53.58,-6.11,287.59,76,90,8.2,IE,1592679780
341,tura,-12.02,17.48,288.14,35,0,1.44,AO,1592679780
342,tura,28.5,-13.86,297.15,69,40,8.7,ES,1592679607
343,tura,50.12,17.38,288.15,91,100,0.45,CZ,1592679780
344,tura,10.6,-67.03,300.93,70,56,4.1,VE,1592679781
345,tura,53.04,16.46,291.47,83,100,4.37,PL,1592679781
346,tura,-3.67,152.43,299.68,78,97,0.86,PG,1592679781
347,tura,31.21,16.59,296.18,80,0,6.9,LY,1592679781
348,tura,-23.85,151.25,289.15,87,90,2.6,AU,1592679548
349,tura,-1.2,-46.02,301.61,76,0,3.4,BR,1592679633
350,tura,50.12,139.15,276.21,94,1,1.35,RU,1592679781
351,tura,41.14,-73.36,303.71,51,1,4.6,US,1592679843
352,tura,56.8,59.93,287.15,87,40,5.0,RU,1592679782
353,tura,1.49,124.85,297.15,94,20,0.5,ID,1592679782
354,tura,34.8,-106.54,303.71,14,1,3.6,US,1592679726
